edition,dlnumber,url,filename
"Citrix Virtual Apps and Desktops 7 2106, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.17.2.0_BUILD_35000.zip,Citrix_Licensing_11.17.2.0_BUILD_35000.zip
"Citrix Virtual Apps and Desktops 7 2106, All Editions - Citrix",19471,https://secureportal.citrix.com/udl.asp?DLID=19471&URL=https://downloads.citrix.com/19471/ProfileMgmt_2106.zip,ProfileMgmt_2106.zip
"Citrix Virtual Apps and Desktops 7 2106, All Editions - Citrix",19430,https://secureportal.citrix.com/udl.asp?DLID=19430&URL=https://downloads.citrix.com/19430/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 2106, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",19143,https://secureportal.citrix.com/udl.asp?DLID=19143&URL=https://downloads.citrix.com/19143/Citrix_Virtual_Apps_and_Desktops_7_2103.iso,Citrix_Virtual_Apps_and_Desktops_7_2103.iso
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",19144,https://secureportal.citrix.com/udl.asp?DLID=19144&URL=https://downloads.citrix.com/19144/VDAServerSetup_2103.exe,VDAServerSetup_2103.exe
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",19145,https://secureportal.citrix.com/udl.asp?DLID=19145&URL=https://downloads.citrix.com/19145/VDAWorkstationSetup_2103.exe,VDAWorkstationSetup_2103.exe
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",19146,https://secureportal.citrix.com/udl.asp?DLID=19146&URL=https://downloads.citrix.com/19146/VDAWorkstationCoreSetup_2103.exe,VDAWorkstationCoreSetup_2103.exe
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_34000.zip,Citrix_Licensing_11.16.6.0_BUILD_34000.zip
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",19147,https://secureportal.citrix.com/udl.asp?DLID=19147&URL=https://downloads.citrix.com/19147/ProfileMgmt_2103.zip,ProfileMgmt_2103.zip
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",18840,https://secureportal.citrix.com/udl.asp?DLID=18840&URL=https://downloads.citrix.com/18840/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 2103, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18862,https://secureportal.citrix.com/udl.asp?DLID=18862&URL=https://downloads.citrix.com/18862/Citrix_Virtual_Apps_and_Desktops_7_2012.iso,Citrix_Virtual_Apps_and_Desktops_7_2012.iso
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18863,https://secureportal.citrix.com/udl.asp?DLID=18863&URL=https://downloads.citrix.com/18863/VDAServerSetup_2012.exe,VDAServerSetup_2012.exe
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18864,https://secureportal.citrix.com/udl.asp?DLID=18864&URL=https://downloads.citrix.com/18864/VDAWorkstationSetup_2012.exe,VDAWorkstationSetup_2012.exe
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18865,https://secureportal.citrix.com/udl.asp?DLID=18865&URL=https://downloads.citrix.com/18865/VDAWorkstationCoreSetup_2012.exe,VDAWorkstationCoreSetup_2012.exe
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_33000.zip,Citrix_Licensing_11.16.6.0_BUILD_33000.zip
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18866,https://secureportal.citrix.com/udl.asp?DLID=18866&URL=https://downloads.citrix.com/18866/ProfileMgmt_2012.zip,ProfileMgmt_2012.zip
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",18840,https://secureportal.citrix.com/udl.asp?DLID=18840&URL=https://downloads.citrix.com/18840/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 2012, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",18750,https://secureportal.citrix.com/udl.asp?DLID=18750&URL=https://downloads.citrix.com/18750/Citrix_Virtual_Apps_and_Desktops_7_2009.iso,Citrix_Virtual_Apps_and_Desktops_7_2009.iso
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",18751,https://secureportal.citrix.com/udl.asp?DLID=18751&URL=https://downloads.citrix.com/18751/VDAServerSetup_2009.exe,VDAServerSetup_2009.exe
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",18752,https://secureportal.citrix.com/udl.asp?DLID=18752&URL=https://downloads.citrix.com/18752/VDAWorkstationSetup_2009.exe,VDAWorkstationSetup_2009.exe
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",18753,https://secureportal.citrix.com/udl.asp?DLID=18753&URL=https://downloads.citrix.com/18753/VDAWorkstationCoreSetup_2009.exe,VDAWorkstationCoreSetup_2009.exe
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_32000.zip,Citrix_Licensing_11.16.6.0_BUILD_32000.zip
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",18754,https://secureportal.citrix.com/udl.asp?DLID=18754&URL=https://downloads.citrix.com/18754/ProfileMgmt_2009.zip,ProfileMgmt_2009.zip
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",17801,https://secureportal.citrix.com/udl.asp?DLID=17801&URL=https://downloads.citrix.com/17801/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 2009, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"Citrix Virtual Apps and Desktops 7 2006, All Editions - Citrix",17823,https://secureportal.citrix.com/udl.asp?DLID=17823&URL=https://downloads.citrix.com/17823/Citrix_Virtual_Apps_and_Desktops_7_2006.iso,Citrix_Virtual_Apps_and_Desktops_7_2006.iso
"Citrix Virtual Apps and Desktops 7 2006, All Editions - Citrix",17824,https://secureportal.citrix.com/udl.asp?DLID=17824&URL=https://downloads.citrix.com/17824/VDAServerSetup_2006.exe,VDAServerSetup_2006.exe
"Citrix Virtual Apps and Desktops 7 2006, All Editions - Citrix",17825,https://secureportal.citrix.com/udl.asp?DLID=17825&URL=https://downloads.citrix.com/17825/VDAWorkstationSetup_2006.exe,VDAWorkstationSetup_2006.exe
